Date/Time,Temp (°C),Dew Point Temp (°C),Rel Hum (%),Wind Spd (km/h),Visibility (km),Stn Press (kPa),Weather
2016-07-01 07:00:00,14.5,11.5,82.0,16.0,24.1,101.86,Rain
2016-07-01 10:00:00,15.9,11.7,76.0,15.0,19.3,101.94,Rain
2016-07-01 13:00:00,16.9,12.7,76.0,15.0,32.2,101.95,Cloudy
2016-07-01 16:00:00,19.9,13.9,68.0,12.0,48.3,101.87,Clear
2016-07-01 19:00:00,18.8,12.6,67.0,13.0,48.3,101.77,Cloudy
2016-07-02 07:00:00,17.7,14.6,82.0,5.0,48.3,101.64,Cloudy
2016-07-02 10:00:00,20.8,14.1,65.0,16.0,48.3,101.6,Cloudy
2016-07-02 13:00:00,22.6,14.1,58.0,21.0,48.3,101.52,Cloudy
2016-07-02 16:00:00,21.4,13.7,61.0,21.0,48.3,101.45,Cloudy
2016-07-02 19:00:00,19.6,11.5,59.0,23.0,48.3,101.4,Clear
2016-07-03 07:00:00,17.0,12.8,76.0,37.0,48.3,101.72,Clear
2016-07-03 10:00:00,18.8,11.2,61.0,40.0,48.3,101.84,Clear
2016-07-03 13:00:00,19.8,11.7,59.0,22.0,48.3,101.9,Clear
2016-07-03 16:00:00,19.7,10.5,55.0,18.0,48.3,101.85,Clear
2016-07-03 19:00:00,18.5,9.7,56.0,10.0,48.3,101.82,Cloudy
2016-07-04 07:00:00,16.1,12.5,79.0,3.0,32.2,101.78,Cloudy
2016-07-04 10:00:00,17.5,12.3,71.0,16.0,32.2,101.86,Cloudy
2016-07-04 13:00:00,19.2,10.3,56.0,16.0,32.2,101.85,Cloudy
2016-07-04 16:00:00,19.9,11.5,58.0,14.0,32.2,101.79,Cloudy
2016-07-04 19:00:00,18.5,11.9,65.0,8.0,24.1,101.71,Cloudy
2016-07-05 07:00:00,15.1,11.9,81.0,7.0,24.1,101.77,Cloudy
2016-07-05 11:00:00,14.6,11.4,81.0,11.0,24.1,101.86,Rain
2016-07-05 13:00:00,16.2,11.8,75.0,15.0,24.1,101.86,Cloudy
2016-07-05 16:00:00,17.7,12.0,69.0,16.0,24.1,101.78,Cloudy
2016-07-05 19:00:00,16.1,11.5,74.0,13.0,32.2,101.76,Cloudy
2016-07-06 07:00:00,14.2,11.7,85.0,9.0,24.1,101.8,Cloudy
2016-07-06 10:00:00,18.8,12.4,66.0,8.0,24.1,101.75,Clear
2016-07-06 13:00:00,20.4,13.7,65.0,13.0,32.2,101.71,Clear
2016-07-06 16:00:00,19.8,12.4,62.0,13.0,48.3,101.59,Clear
2016-07-06 19:00:00,18.2,11.4,64.0,6.0,48.3,101.48,Clear
2016-07-07 06:00:00,15.2,12.4,83.0,10.0,32.2,101.22,Rain
2016-07-07 07:00:00,15.8,12.8,82.0,9.0,32.2,101.22,Rain
2016-07-07 08:00:00,16.1,13.1,82.0,12.0,24.1,101.24,Rain
2016-07-07 09:00:00,15.6,13.3,86.0,15.0,19.3,101.25,Rain
2016-07-07 10:00:00,14.9,13.6,92.0,17.0,12.9,101.26,Rain
2016-07-07 11:00:00,15.2,13.9,92.0,17.0,19.3,101.26,Rain
2016-07-07 12:00:00,15.7,14.1,90.0,26.0,24.1,101.23,Rain
2016-07-07 13:00:00,15.7,13.6,87.0,27.0,24.1,101.24,Rain
2016-07-07 15:00:00,17.1,14.4,84.0,19.0,24.1,101.17,Drizzle
2016-07-07 16:00:00,16.4,14.4,88.0,19.0,11.3,101.15,Cloudy
2016-07-07 18:00:00,16.0,14.6,91.0,18.0,16.1,101.07,Rain
2016-07-07 19:00:00,15.8,14.5,92.0,15.0,16.1,101.04,Rain
2016-07-08 07:00:00,15.6,13.5,87.0,17.0,24.1,100.96,Cloudy
2016-07-08 10:00:00,17.0,13.6,80.0,5.0,19.3,101.09,Cloudy
2016-07-08 13:00:00,19.8,13.6,67.0,13.0,32.2,101.15,Cloudy
2016-07-08 16:00:00,19.5,13.5,68.0,5.0,32.2,101.13,Cloudy
2016-07-08 19:00:00,19.7,13.7,68.0,4.0,32.2,101.08,Cloudy
2016-07-09 06:00:00,14.0,13.4,96.0,13.0,8.1,101.24,"Rain Showers,Fog"
2016-07-09 07:00:00,14.4,13.6,95.0,19.0,12.9,101.28,Rain
2016-07-09 10:00:00,16.6,13.0,79.0,18.0,24.1,101.39,Cloudy
2016-07-09 13:00:00,19.1,11.3,60.0,19.0,32.2,101.48,Cloudy
2016-07-09 16:00:00,20.5,9.6,49.0,12.0,32.2,101.5,Cloudy
2016-07-09 19:00:00,17.6,12.1,70.0,9.0,48.3,101.5,Cloudy
2016-07-10 07:00:00,15.6,12.0,79.0,20.0,32.2,101.53,Cloudy
2016-07-10 10:00:00,18.5,14.5,77.0,18.0,48.3,101.53,Clear
2016-07-10 13:00:00,20.6,13.7,64.0,9.0,48.3,101.56,Clear
2016-07-10 16:00:00,20.7,13.8,64.0,10.0,48.3,101.51,Clear
2016-07-10 19:00:00,19.3,13.3,68.0,9.0,48.3,101.49,Cloudy
2016-07-11 07:00:00,14.7,11.3,80.0,21.0,32.2,101.74,Cloudy
2016-07-11 10:00:00,16.5,10.6,68.0,22.0,32.2,101.79,Cloudy
2016-07-11 13:00:00,17.8,11.4,66.0,18.0,48.3,101.77,Cloudy
2016-07-11 16:00:00,19.9,11.5,58.0,13.0,48.3,101.61,Cloudy
2016-07-11 19:00:00,18.1,11.3,64.0,6.0,32.2,101.5,Cloudy
2016-07-12 06:00:00,15.5,13.4,87.0,5.0,48.3,101.45,Rain
2016-07-12 07:00:00,15.7,13.7,88.0,9.0,48.3,101.48,Rain
2016-07-12 08:00:00,15.8,13.5,86.0,7.0,48.3,101.52,Rain
2016-07-12 09:00:00,16.6,13.6,82.0,7.0,24.1,101.54,Rain
2016-07-12 10:00:00,17.4,13.8,79.0,6.0,32.2,101.56,Cloudy
2016-07-12 13:00:00,20.2,14.2,68.0,8.0,32.2,101.65,Cloudy
2016-07-12 16:00:00,20.7,11.5,55.0,7.0,48.3,101.66,Cloudy
2016-07-12 19:00:00,19.5,12.8,65.0,11.0,48.3,101.7,Cloudy
2016-07-13 07:00:00,16.0,14.4,90.0,10.0,24.1,102.24,Cloudy
2016-07-13 10:00:00,17.6,14.0,79.0,3.0,24.1,102.37,Cloudy
2016-07-13 13:00:00,19.6,14.3,71.0,15.0,48.3,102.37,Clear
2016-07-13 16:00:00,20.0,12.6,62.0,14.0,48.3,102.32,Clear
2016-07-13 19:00:00,19.0,12.8,67.0,11.0,48.3,102.26,Clear
2016-07-14 07:00:00,16.8,13.0,78.0,4.0,48.3,102.31,Cloudy
2016-07-14 10:00:00,19.4,13.7,69.0,20.0,48.3,102.31,Cloudy
2016-07-14 13:00:00,20.2,14.9,71.0,21.0,48.3,102.25,Cloudy
2016-07-14 16:00:00,17.4,11.5,68.0,27.0,48.3,102.2,Rain
2016-07-14 19:00:00,17.5,12.5,72.0,12.0,48.3,102.1,Clear
2016-07-15 07:00:00,15.0,12.5,85.0,10.0,32.2,102.03,Cloudy
2016-07-15 10:00:00,16.7,13.8,83.0,9.0,32.2,102.04,Cloudy
2016-07-15 13:00:00,19.0,14.5,75.0,16.0,48.3,101.97,Clear
2016-07-15 16:00:00,20.9,13.5,62.0,15.0,48.3,101.85,Clear
2016-07-15 19:00:00,20.9,11.7,55.0,9.0,32.2,101.74,Cloudy
2016-07-16 07:00:00,15.8,13.8,88.0,13.0,24.1,101.72,Cloudy
2016-07-16 08:00:00,16.0,14.0,88.0,13.0,24.1,101.74,Drizzle
2016-07-16 10:00:00,17.1,13.5,79.0,16.0,24.1,101.77,Cloudy
2016-07-16 13:00:00,19.3,14.2,72.0,14.0,24.1,101.77,Cloudy
2016-07-16 16:00:00,19.6,15.3,76.0,16.0,24.1,101.64,Clear
2016-07-16 19:00:00,19.2,15.1,77.0,9.0,24.1,101.59,Clear
2016-07-17 07:00:00,17.6,15.4,87.0,5.0,32.2,101.5,Cloudy
2016-07-17 10:00:00,19.1,16.9,87.0,15.0,24.1,101.47,Cloudy
2016-07-17 13:00:00,22.0,15.9,68.0,14.0,48.3,101.32,Cloudy
2016-07-17 16:00:00,21.3,15.7,70.0,13.0,48.3,101.21,Cloudy
2016-07-17 19:00:00,19.7,17.0,84.0,4.0,32.2,101.23,Cloudy
2016-07-18 07:00:00,18.4,14.9,80.0,12.0,32.2,101.37,Cloudy
2016-07-18 10:00:00,21.4,15.3,68.0,10.0,32.2,101.33,Clear
2016-07-18 13:00:00,22.9,17.7,72.0,21.0,32.2,101.29,Clear
2016-07-18 16:00:00,21.8,15.3,66.0,16.0,32.2,101.4,Cloudy
2016-07-18 19:00:00,19.4,14.9,75.0,27.0,32.2,101.46,Cloudy
2016-07-19 10:00:00,18.1,14.1,77.0,16.0,24.1,101.87,Cloudy
2016-07-19 13:00:00,22.8,13.4,55.0,15.0,32.2,101.85,Clear
2016-07-19 16:00:00,21.3,14.3,64.0,13.0,48.3,101.8,Clear
2016-07-19 19:00:00,19.8,13.6,67.0,10.0,48.3,101.74,Clear
2016-07-20 07:00:00,17.3,13.9,80.0,14.0,48.3,101.93,Cloudy
2016-07-20 10:00:00,21.5,14.5,64.0,16.0,48.3,102.0,Clear
2016-07-20 13:00:00,22.7,14.7,60.0,16.0,48.3,101.95,Clear
2016-07-20 16:00:00,21.8,14.8,64.0,10.0,48.3,101.88,Clear
2016-07-20 19:00:00,20.6,14.8,69.0,12.0,48.3,101.78,Clear
2016-07-21 07:00:00,18.6,13.5,72.0,5.0,48.3,101.81,Clear
2016-07-21 10:00:00,21.0,16.1,73.0,20.0,48.3,101.79,Clear
2016-07-21 13:00:00,23.4,16.3,64.0,22.0,48.3,101.68,Clear
2016-07-21 16:00:00,23.2,17.1,68.0,18.0,48.3,101.55,Cloudy
2016-07-21 19:00:00,20.0,16.3,79.0,9.0,48.3,101.48,Clear
2016-07-22 07:00:00,17.2,13.2,77.0,21.0,48.3,102.0,Cloudy
2016-07-22 10:00:00,20.4,13.2,63.0,27.0,32.2,102.11,Clear
2016-07-22 13:00:00,22.9,13.8,56.0,17.0,48.3,102.2,Clear
2016-07-22 16:00:00,23.1,12.3,50.0,21.0,48.3,102.18,Cloudy
2016-07-22 19:00:00,20.3,13.4,64.0,9.0,48.3,102.2,Cloudy
2016-07-23 07:00:00,16.0,12.4,79.0,17.0,32.2,102.34,Clear
2016-07-23 10:00:00,19.2,11.8,62.0,10.0,48.3,102.41,Clear
2016-07-23 13:00:00,20.4,14.6,69.0,15.0,48.3,102.34,Clear
2016-07-23 16:00:00,20.8,15.0,69.0,14.0,48.3,102.29,Clear
2016-07-23 19:00:00,20.3,13.1,63.0,9.0,48.3,102.19,Clear
2016-07-24 07:00:00,17.4,13.2,76.0,4.0,48.3,102.02,Clear
2016-07-24 10:00:00,19.5,13.7,69.0,13.0,48.3,101.95,Clear
2016-07-24 13:00:00,21.0,12.8,59.0,11.0,48.3,101.84,Clear
2016-07-24 16:00:00,22.1,14.8,63.0,13.0,48.3,101.7,Clear
2016-07-24 19:00:00,21.5,15.2,67.0,10.0,48.3,101.57,Clear
2016-07-25 07:00:00,18.4,14.6,78.0,8.0,48.3,101.72,Cloudy
2016-07-25 10:00:00,21.4,15.6,69.0,13.0,48.3,101.78,Cloudy
2016-07-25 13:00:00,22.4,16.5,69.0,15.0,48.3,101.7,Cloudy
2016-07-25 19:00:00,22.9,18.5,76.0,9.0,48.3,101.53,Cloudy
2016-07-26 07:00:00,15.9,13.6,86.0,19.0,24.1,101.97,Cloudy
2016-07-26 10:00:00,19.9,13.7,67.0,12.0,32.2,102.01,Clear
2016-07-26 13:00:00,20.6,16.3,76.0,17.0,48.3,101.91,Clear
2016-07-26 16:00:00,22.1,16.7,71.0,14.0,48.3,101.8,Clear
2016-07-27 07:00:00,18.9,16.4,85.0,20.0,24.1,102.01,Cloudy
2016-07-27 10:00:00,21.5,16.8,74.0,22.0,48.3,102.0,Clear
2016-07-27 13:00:00,22.4,17.4,73.0,23.0,48.3,101.92,Clear
2016-07-27 16:00:00,24.3,17.7,66.0,17.0,48.3,101.77,Clear
2016-07-27 19:00:00,22.4,17.2,72.0,13.0,48.3,101.68,Clear
2016-07-28 07:00:00,19.2,16.1,82.0,26.0,48.3,101.99,Clear
2016-07-28 10:00:00,21.1,16.4,74.0,28.0,48.3,101.97,Clear
2016-07-28 13:00:00,22.6,17.2,71.0,28.0,48.3,101.84,Clear
2016-07-28 16:00:00,23.1,17.4,70.0,20.0,48.3,101.69,Clear
2016-07-28 19:00:00,21.5,17.2,76.0,11.0,48.3,101.51,Clear
2016-07-29 07:00:00,18.9,16.0,83.0,26.0,48.3,101.57,Clear
2016-07-29 10:00:00,20.6,16.1,75.0,33.0,48.3,101.53,Clear
2016-07-29 13:00:00,22.2,16.1,68.0,27.0,48.3,101.38,Clear
2016-07-29 16:00:00,22.9,16.1,65.0,16.0,48.3,101.22,Clear
2016-07-29 19:00:00,20.2,15.1,72.0,38.0,48.3,101.07,Clear
2016-07-30 07:00:00,16.8,12.2,74.0,24.0,32.2,101.22,Clear
2016-07-30 10:00:00,18.8,11.7,63.0,32.0,48.3,101.32,Clear
2016-07-30 13:00:00,20.9,10.2,50.0,34.0,48.3,101.32,Clear
2016-07-30 16:00:00,21.3,12.3,56.0,13.0,48.3,101.28,Clear
2016-07-30 19:00:00,18.9,12.0,64.0,11.0,48.3,101.21,Clear
2016-07-31 07:00:00,16.0,12.2,78.0,15.0,48.3,101.61,Cloudy
2016-07-31 10:00:00,17.4,12.2,71.0,9.0,48.3,101.76,Cloudy
2016-07-31 13:00:00,18.9,13.0,68.0,14.0,48.3,101.78,Cloudy
2016-07-31 16:00:00,19.8,11.4,58.0,14.0,48.3,101.69,Clear
2016-07-31 19:00:00,18.6,12.2,66.0,6.0,48.3,101.62,Clear
2016-10-01 07:00:00,11.7,8.2,79.0,12.0,24.1,101.24,Cloudy
2016-10-01 08:00:00,12.5,7.8,73.0,16.0,24.1,101.24,Rain
2016-10-01 09:00:00,13.6,9.3,75.0,16.0,24.1,101.21,Rain
2016-10-01 10:00:00,14.3,8.3,67.0,23.0,24.1,101.22,Cloudy
2016-10-01 13:00:00,14.1,8.6,69.0,24.0,19.3,101.27,Cloudy
2016-10-01 14:00:00,13.7,10.7,82.0,18.0,24.1,101.32,Rain
2016-10-01 15:00:00,13.7,10.7,82.0,15.0,19.3,101.36,Rain
2016-10-01 16:00:00,13.6,9.7,77.0,27.0,24.1,101.4,Cloudy
2016-10-01 19:00:00,12.7,9.2,79.0,14.0,24.1,101.44,Cloudy
2016-10-02 06:00:00,10.8,8.9,88.0,8.0,24.1,101.38,Rain
2016-10-02 07:00:00,10.8,8.9,88.0,4.0,32.2,101.38,Cloudy
2016-10-02 10:00:00,13.2,10.4,83.0,10.0,32.2,101.43,Cloudy
2016-10-02 13:00:00,14.6,10.7,77.0,21.0,48.3,101.3,Clear
2016-10-02 16:00:00,14.3,10.6,78.0,21.0,48.3,101.19,Clear
2016-10-02 19:00:00,10.1,9.0,93.0,9.0,32.2,101.17,Clear
2016-10-03 07:00:00,10.2,8.7,90.0,13.0,24.1,101.2,Cloudy
2016-10-03 10:00:00,12.7,9.6,81.0,21.0,24.1,101.24,Cloudy
2016-10-03 13:00:00,14.9,9.3,69.0,21.0,32.2,101.13,Cloudy
2016-10-03 16:00:00,14.7,6.3,57.0,25.0,32.2,101.0,Cloudy
2016-10-03 19:00:00,13.4,7.5,67.0,13.0,24.1,100.95,Cloudy
2016-10-04 07:00:00,11.0,9.9,93.0,20.0,24.1,100.92,Cloudy
2016-10-04 10:00:00,12.8,10.9,88.0,19.0,24.1,100.98,Cloudy
2016-10-04 13:00:00,14.8,10.1,73.0,26.0,24.1,100.93,Cloudy
2016-10-04 16:00:00,15.0,9.6,70.0,27.0,24.1,100.91,Cloudy
2016-10-04 19:00:00,13.4,10.4,82.0,16.0,24.1,100.95,Rain
2016-10-05 07:00:00,12.6,9.8,83.0,9.0,48.3,101.16,Cloudy
2016-10-05 10:00:00,15.1,11.3,78.0,12.0,48.3,101.27,Cloudy
2016-10-05 13:00:00,15.1,11.9,81.0,30.0,48.3,101.32,Clear
2016-10-05 16:00:00,13.7,11.3,85.0,30.0,48.3,101.4,Clear
2016-10-05 19:00:00,13.0,11.1,88.0,17.0,32.2,101.49,Cloudy
2016-10-06 07:00:00,11.7,10.9,95.0,5.0,24.1,101.77,Cloudy
2016-10-06 10:00:00,13.0,11.3,89.0,13.0,24.1,101.79,Cloudy
2016-10-06 13:00:00,13.1,10.3,83.0,24.0,24.1,101.68,Cloudy
2016-10-06 16:00:00,12.9,11.0,88.0,22.0,24.1,101.39,Rain
2016-10-06 17:00:00,12.7,11.0,89.0,23.0,19.3,101.29,Rain
2016-10-06 18:00:00,12.2,10.3,88.0,30.0,16.1,101.15,Rain
2016-10-06 19:00:00,11.8,10.4,91.0,31.0,9.7,101.01,"Rain,Fog"
2016-10-07 07:00:00,12.4,7.7,73.0,34.0,24.1,100.7,Cloudy
2016-10-07 10:00:00,13.8,8.7,71.0,22.0,24.1,101.13,Cloudy
2016-10-07 13:00:00,14.6,8.4,66.0,10.0,48.3,101.48,Cloudy
2016-10-07 16:00:00,14.8,8.4,65.0,9.0,48.3,101.63,Cloudy
2016-10-07 19:00:00,12.7,6.8,67.0,12.0,32.2,101.71,Cloudy
2016-10-08 06:00:00,10.0,9.1,94.0,10.0,16.1,101.14,Rain
2016-10-08 07:00:00,10.1,9.3,95.0,7.0,16.1,101.07,Rain
2016-10-08 08:00:00,10.0,9.1,94.0,13.0,16.1,100.93,Rain
2016-10-08 09:00:00,9.7,8.6,93.0,9.0,16.1,100.91,Rain
2016-10-08 10:00:00,10.0,9.1,94.0,1.0,16.1,100.86,Cloudy
2016-10-08 11:00:00,10.2,9.1,93.0,1.0,16.1,100.88,"Rain,Drizzle"
2016-10-08 12:00:00,10.7,9.6,93.0,17.0,16.1,100.73,Drizzle
2016-10-08 13:00:00,10.7,10.1,96.0,7.0,8.1,100.78,"Moderate Rain,Drizzle"
2016-10-08 14:00:00,9.3,8.6,95.0,26.0,6.4,100.78,"Rain,Drizzle"
2016-10-08 15:00:00,10.0,9.2,95.0,18.0,8.1,100.75,Drizzle
2016-10-08 16:00:00,9.5,8.8,95.0,24.0,8.1,100.76,"Drizzle,Fog"
2016-10-08 17:00:00,9.2,8.0,92.0,26.0,12.9,100.77,"Drizzle,Fog"
2016-10-08 19:00:00,9.5,8.6,94.0,18.0,12.9,100.84,Cloudy
2016-10-09 07:00:00,6.4,5.7,95.0,5.0,24.1,101.58,Cloudy
2016-10-09 10:00:00,12.0,9.4,84.0,10.0,32.2,101.64,Cloudy
2016-10-09 13:00:00,12.7,9.0,78.0,18.0,48.3,101.58,Cloudy
2016-10-09 16:00:00,12.1,8.4,78.0,21.0,48.3,101.47,Clear
2016-10-09 19:00:00,9.8,8.3,90.0,15.0,32.2,101.4,Clear
2016-10-10 07:00:00,7.8,6.6,92.0,5.0,48.3,101.75,Cloudy
2016-10-10 10:00:00,11.4,7.5,77.0,12.0,48.3,101.92,Cloudy
2016-10-10 13:00:00,11.4,7.0,74.0,11.0,48.3,101.96,Cloudy
2016-10-10 16:00:00,10.9,8.0,82.0,13.0,48.3,101.93,Clear
2016-10-10 19:00:00,8.7,4.2,73.0,7.0,48.3,102.0,Clear
2016-10-11 07:00:00,3.8,-1.4,69.0,2.0,48.3,102.33,Clear
2016-10-11 10:00:00,10.2,0.8,52.0,7.0,48.3,102.44,Clear
2016-10-11 13:00:00,11.7,1.1,48.0,18.0,48.3,102.37,Clear
2016-10-11 16:00:00,11.5,5.2,65.0,14.0,48.3,102.22,Clear
2016-10-11 19:00:00,8.6,3.5,70.0,9.0,48.3,102.14,Clear
2016-10-12 07:00:00,3.3,1.5,88.0,13.0,48.3,101.96,Clear
2016-10-12 10:00:00,10.7,3.1,59.0,5.0,48.3,101.82,Clear
2016-10-12 13:00:00,11.3,4.8,64.0,14.0,48.3,101.6,Cloudy
2016-10-12 16:00:00,12.0,5.0,62.0,10.0,48.3,101.27,Cloudy
2016-10-12 19:00:00,13.8,3.3,49.0,16.0,32.2,100.94,Cloudy
2016-10-13 07:00:00,11.4,10.2,92.0,25.0,24.1,100.23,Rain
2016-10-13 08:00:00,11.6,10.7,94.0,24.0,19.3,100.21,Rain
2016-10-13 09:00:00,11.8,11.0,95.0,21.0,24.1,100.18,Rain
2016-10-13 10:00:00,12.8,11.6,92.0,20.0,24.1,100.18,Cloudy
2016-10-13 13:00:00,13.2,11.6,90.0,18.0,24.1,100.07,Cloudy
2016-10-13 16:00:00,13.9,11.1,83.0,18.0,24.1,99.72,Cloudy
2016-10-13 17:00:00,13.6,11.5,87.0,14.0,24.1,99.54,Rain
2016-10-13 18:00:00,12.8,11.4,91.0,21.0,24.1,99.25,Rain
2016-10-13 19:00:00,12.0,11.1,94.0,16.0,24.1,98.97,Rain
2016-10-14 06:00:00,11.4,10.5,94.0,18.0,12.9,98.95,Heavy Rain
2016-10-14 07:00:00,11.2,10.4,95.0,16.0,8.1,98.89,"Rain,Fog"
2016-10-14 08:00:00,11.4,10.2,92.0,20.0,8.1,98.96,"Moderate Rain,Fog"
2016-10-14 09:00:00,11.8,9.6,86.0,25.0,12.9,98.85,Rain
2016-10-14 10:00:00,11.6,9.7,88.0,41.0,12.9,98.79,Rain
2016-10-14 11:00:00,12.5,9.9,84.0,52.0,12.9,98.69,Rain
2016-10-14 12:00:00,12.5,9.9,84.0,58.0,16.1,98.62,Rain
2016-10-14 13:00:00,11.7,10.5,92.0,44.0,8.1,98.64,"Rain,Fog"
2016-10-14 14:00:00,11.8,10.7,93.0,48.0,6.4,98.7,"Moderate Rain,Fog"
2016-10-14 15:00:00,13.1,9.8,80.0,42.0,12.9,98.83,Rain
2016-10-14 16:00:00,13.4,9.1,75.0,44.0,12.9,99.06,Cloudy
2016-10-14 19:00:00,12.2,8.3,77.0,23.0,24.1,99.63,Cloudy
2016-10-15 07:00:00,10.8,9.1,89.0,16.0,32.2,99.82,Cloudy
2016-10-15 10:00:00,10.9,9.5,91.0,23.0,19.3,99.47,Rain
2016-10-15 11:00:00,11.0,9.4,90.0,22.0,12.9,99.26,Rain
2016-10-15 12:00:00,11.2,9.8,91.0,20.0,9.7,99.04,"Rain,Fog"
2016-10-15 13:00:00,11.1,9.0,87.0,25.0,8.1,98.83,"Moderate Rain,Fog"
2016-10-15 16:00:00,12.5,8.0,74.0,46.0,12.9,98.16,Rain
2016-10-15 17:00:00,11.8,8.9,82.0,44.0,16.1,98.15,Rain
2016-10-15 18:00:00,11.7,9.3,85.0,37.0,19.3,98.16,Rain
